good_type,old_tags,new_tag
Accs,аккуратно сделан; выглядит дёшево; выглядит четко; выглядят нормально,внешний вид
Accs,аккуратный пошив; качественная пошивка; качественная ткань; качественные швы; качественный трикотаж; качественный шов; приятная ткань; рыхлая ткань,качественный пошив
Accs,базовая модель; базовый дизайн; базовый стиль,базовый вариант
Accs,бархатная текстура; деревянная текстура,приятная текстура
Accs,нет информации об uv,без uv-защиты
Accs,без форменная,бесформенная
Accs,белоснежный материал,белоснежный
Accs,благородный цвет; яркая расцветка; яркий цвет; ярко-голубой цвет,насыщенный цвет
Accs,блестящая ткань; блестящие; блестящий камень,блестящий
Accs,болтающееся стекло; запотевает стекло,стекло дефект
Accs,большемерит; большемерят; маломерит; маломерки; маломерят,нестандартный размер
Accs,большой размер; маленький размер; правильный размер,размер
Accs,большой циферблат; электронный циферблат,большой электронный циферблат
Accs,болят уши; уши не болят,эргономичные наушники
Accs,брутальный; добротный,прочный
Accs,в меру глубокий; в меру жесткий; в меру объемная,сбалансированный
Accs,выгорает; не выгорает,светостойкий
Accs,выдержала стирку; не выдерживает стирку,устойчивость к стирке
Accs,вызывает дискомфорт; вызывает комплименты,привлекает внимание
Accs,вылезают нитки; нитки торчат,торчащие нитки
Accs,высокое качество; достойное качество; качественная; качественно сделан; качественно сделана; качественное; качественное изделие; качественное исполнение; качественное украшение; качественные; качественные материалы; качественный; качественный материал; качественный металл; качество неплохое; качество супер; нормальное качество; отличное качество; отличное состояние; отличный материал; хорошее исполнение; хорошее качество; хорошие материалы; хороший крой; хороший материал; хороший состав,качество
Accs,выцветает,выцветает при намокании
Accs,вязаная; вязаные,вязаные изделия
Accs,гладкая кожа; качественная кожа; кожаные; кожаный; приятная к коже; хорошая кожа,кожа
Accs,глубокая,глубокая форма
Accs,грязно серый оттенок,грязный подклад
Accs,два цвета; двойные; двухслойная,двухсторонний
Accs,двойной подворот,широкий подворот
Accs,держит форму; не держит форму; не теряет форму; плохо держит форму; форма не держит; форму держит,сохраняет форму
Accs,дешёвая; дешёвые; недорогой,дешёвый
Accs,длинные пальцы; длинный большой палец; на длинные пальцы,для длинных пальцев
Accs,для большой головы; для маленького лица; для узкого лица; мала на большую голову; на большую голову; на широкое лицо; подходит для маленькой головы,универсальный размер
Accs,для джинс; плотный джинс,плотные джинсы
Accs,для лета; жарковата летом,на лето
Accs,для ранней осени; на весну-осень; на осень; на осень/весну; осень; теплую осень,осень-весна
Accs,для редких волос; на длинные волосы; тяжелый для тонких волос,для тонких волос
Accs,долговечная; долговечные,долговечный
Accs,дырок мало,мало отверстий
Accs,дышащий материал; дышит,дышащий
Accs,есть вышивка,с вышивкой
Accs,есть карман для карт; удобно для карточек,карманные для карточек
Accs,есть разводы,разводы соли
