text,tags
"[""Хороший крем"", ""Крем понравился, хорошо увлажняет и питает, впитывается быстро"", ""Запах приятный ,хорошо впитывается  "", ""Крем замечательный, впитывается быстро, не липкий, рекомендую"", ""Неплохой крем. Не жирный. Смягчает,  но не увлажняет. Для лета хорошо,  но для зимы нужно пожирнее."", "" Большой объем, хорошо увлажняет, приятный не навязчивый аромат."", ""Очень парфюмированный и  эффект не понравился""]","[""Питает кожу"", ""Мягко очищает"", ""Увлажняет надолго"", ""Не стягивает кожу"", ""Высокая плотность"", ""Легкий аромат"", ""Быстро расходуется""]"
"[""Приятный запах, не липкое"", ""Губы увлажненные. Цвет ."", ""Цвет потрясающий, только губы подсушивает"", ""Приятный в нанесение, не липкий "", ""Понравился "", ""Лично для меня не питает , цвет на губах ближе к оранжевому оттенку "", ""Сам блеск классный, но он весь вытекает.\nИспачкал просто все, всю сумку "", ""Не плохой бальзам. Придает насыщенный цвет губам, вкусно пахнет. Минус за то что протекает "", ""Хорошо ложиться ""]","[""Подсушивает"", ""Увлажняет надолго"", ""Не стягивает кожу"", ""Удобный"", ""Легкий аромат""]"
"[""Отличный скраб, запах очень приятный, спасибо La!"", ""Супер. Отличный аромат и текстура. Кожа после него приятно-увлажненная"", ""Не плох, но другие скрабы этого бренда понравились больше."", ""Хорошо увлажняет."", ""Хороший скраб для тела "", ""Отличный скраб"", ""Приятный аромат"", ""Отличный результат, приятный запах."", ""Отличный скраб,  приятно пахнет,кожа мягкая .  Погнута крышка, досадно, но ладно."", ""Мне не зашел. Лучше буду брать гомаж для тела. Запах очень приторный, насколько я люблю сладость, тут просто задушил. Много масла, Сахар растворяется очень быстро-не успев что то отскрабировать. Никаких доп. частичек нет. Второй раз не возьму. А вот крем этого бренда xx мне очень понравился"", ""Очень хороший скраб. Приятная текстура и запах. Кожа после него наимегчайшая "", ""Приятный скраб! Советую"", ""Отличный скраб, приятный аромат ( ненавязчивый), увлажняет кожу, подходит для ежедневного применения. Рекомендую.\n""]","[""Мягко очищает"", ""Легкий аромат"", ""Увлажняет надолго"", ""Быстро расходуется""]"
"[""Оригинал! Цвет огонь!"", ""Классный блеск, прям хорошо смотрится на губах "", ""Полупрозрачная"", ""Первый раз взяла помаду этой фирмы и приятно удивлена! Нейтральный оттенок, отличное увлажнение, на губах комфортно и не липко. Буду брать еще )) \nСо скидкой отхватила за 720 руб)"", ""Легкий перламутровый оттенок, не навязчивый аромат, но ощутимый, что касаемо увлажнения - эффекта 0…."", ""для лета, выбеливант губы, запах ириски молочной "", ""Неприятно тянется по губам, ложится жирным липким слоем, сразу хочется его смыть"", ""Отличный, впрочем как и всё этой фирмы... ""]","[""Легкий аромат"", ""Увлажняет надолго"", ""Не стягивает кожу""]"
"[""Запах восхитительный. Средства свои функции выполняют."", ""Как небольшой презент, очень даже не плохо))) запах супер  увлажняет здорово  "", ""Аромат просто шикарный! Текстуры тоже"", ""Отличный крем."", ""Люблю все этой марки"", ""Безумно нравится. Текстура у крема приятная, быстро впитывается, хорошо увлажняет. Приятный запах\nБальзам мое спасение, а то губы постоянно сохнут"", ""ПрИтный набор"", ""Беру из-за бальзама для губ несколько лет, крем не очень подходит, слишком легкий\nАромат приятный ""]","[""Удобный"", ""Легкий аромат"", ""Увлажняет надолго"", ""Быстро расходуется""]"
"[""Тушь мне не понравилась, не подошла для меня, кисточка не для моих ресниц."", ""Прекрасное нанесение, держится целый день, не отпечатывается на верхнем веке! "", ""Хорошая тушь. Увеличивает объем, подкручивание, в течении дня не осыпается "", ""Тушь особо не понравилась. Не моделирует. Если ресницы длинные, то будут, как сухие ветки в разные стороны. 2 раз провести по ресницам не получается, сразу все засыхает, 2 слой наслаивается и каким-то наростами. \nТушь не осыпается, держится хорошо. "", ""Хорошо ложится, неплохо разделяет ресницы, легко смывается, дает обьем "", ""Идеальная тушь) стоимость и качество "", ""Тушь отличная за свои деньги. Беру 2й раз."", ""Как всегда "", ""Довольна качеством и результатом."", ""Отличная тушь "", ""беру не первый раз"", ""Классная тушь ""]","[""Мягко очищает"", ""Даёт объём"", ""Увлажняет надолго"", ""Быстро расходуется"", ""Не сушит""]"
"[""Тоник подошел"", ""Легкий в нанесении, приятный запах. Мне очень понравился. Кожа свежая, шелковистая. Спасибо!"", ""Пока еще не поняла эффекта, пахнет приятно"", ""Хорошо выполняет свою функцию, но запах мне не очень нравится ""]","[""Освежает лицо"", ""Легкий аромат""]"
"[""Хороший кондиционер, очень приятный запах. Рекомендую"", ""Продукты марки попробовала впервые, взяла маску, кондиционер и термозащитный спрей. Пока все устраивает. У кондиционера приятный восточный аромат, сам довольно густой, но мне тонкие волосы не утяжеляет, даже как-то уплотняет, облегчает расчесывание. Упакован был отлично, крышка в защитной слюде. Рекомендую"", ""Приятно пахнет, мягкий, мне понравился "", ""Взяла всю серию шампунь, кондиционер  и маску, волосы обесвеченые, расчесываются легко, не жирнятся.""]","[""Мягко очищает"", ""Легкий аромат"", ""Удлиняет ресницы""]"
"[""Самые любимые расчески, классика, которая должна быть у каждого "", ""Отличная! "", ""Цена и качество = безупречно!"", ""Любимая расческа от тангл тизер. Единственное само покрытие скользкое, но функционал полностью выполняет "", ""Уже 4 расческа Тангл. Очень нравится. "", ""Отличная расчёская, беру не в первый раз "", ""Люблю расчески этой фирмы "", ""Жесткая,но расчесывает отлично"", ""это был подарок для моей жены, конечно есть много копий, но все же решил купить оригинал, не разочарован"", ""Отличная расческа, тяжелая "", ""Самая классная расческа"", ""Отличная расчистка , беру уже не первый раз , очень хорошо справляется с мокрыми волосами "", ""Очень красивая, удобная и качественная расчески !"", ""Расческа очень хорошая, пользуюсь уже 3 месяца "", ""Отличается от ранее приобретенных расчесок, зубцы жёсткие и не гнутся"", ""Хорошая расческа."", ""Супер. Для волнистых путающихся волос просто спасение"", ""При первом падении сломалась, жесткая, ощущение, что не оригинал("", ""Замечательная расческа"", ""Расчёска жестковата,но прочесывает спутанные после  мытья волосы на 5 баллов.  Пользуюсь только такой,волосы  густые."", ""аккуратно запакована, брала на подарок  "", ""Рекомендую !"", ""У меня это уже третья расческа ТТ, но она очень жёсткая, совсем не похожа на предыдущие."", ""Хорошо прочесывает кудри "", ""Очень жесткая, больно царапает кожу головы"", ""Понравилась"", ""Оказалась очень жесткой и царапает голову"", ""Жестче чем розовая и черная. К ней надо привыкнуть"", ""Хорошо расчесывает мокрые волосы, не рвет"", ""Хорошо распутывает мокрые волосы "", ""Очень жесткая "", ""Очень понравилась, чувствуется разница по сравнению с обычными расческами "", ""Вообщем расческа жёсткая. Для густых волос думаю будет очень даже хорошо"", ""Это точно оригинал? Уж больно жесткая "", ""Оригинальная расческа. Но я не ожидала, что она будет такая жесткая. До этого у меня тоже был тангл тизер,который я купила в США"", ""Расческа классная, хорошо расчесывает и прочесывает "", ""Немного жестковатая, надо привыкнуть, а потом не расстанешься с ней. "", ""расческа не дерет волосы "", ""Не понравилась , для моих тонких волос не подходит, очень жесткая . "", ""Отличная расческа, распутывает даже сильно запутанные волосы"", ""совету к покупке,очень удобная и качественная."", ""Рекомендую"", ""Очень жесткая "", ""Уже вторая такая расческа. Очень хорошо чешет волосы, бережно распутывает, не дерёт"", ""Понравилось как распутывает волосы"", ""Очень хорошо расчесывает, не выдирает волосы"", ""Любимая расческа"", ""Расческа понравилась, хорошо прочесывает запутанные волосы, есть массажный эффект"", ""Немного жестковата для меня. До этого была такая же, но как будто мягче . А так эти расчестки самые лучшие, я считаю "", ""Для влажных волос это лучшая расческа. Покупаю уже не первый раз . Спасибо ламоде за привлекательную цену "", ""Отличная расческа. "", ""Нормальная."", ""Хорошая расчёска. Волосы не дерёт. Много лет пользуюсь, только данным брендом. Данную расчёску взяла в замен старой. Единственное для меня-  жестковаты зубчики, раньше их делали более мягкими.  "", ""Отличная расческа, пользуюсь пару лет такой же, решила обновить"", ""Щетина жестковата "", ""По ощущениям грубее, чем другая щетка этого же бренда голубого цвета""]","[""Подсушивает"", ""Для сухих волос"", ""Отличное качество""]"
"[""Супер крем!Выравнивает и убирает мелкие морщины."", ""Жена в восторге "", ""Суперский крем,беру не первый раз.На данный момент он лучший из доступных в магазинах."", ""Любимый ВВ. Пользуюсь уже лет 10 только им ""]","[""Освежает лицо""]"
